relation,topic,count,total,prop,count_global
A Line Of Ulceration On Both Jaws,4,1,1,1.0,1.0
A M I N U T E,0,1,1,1.0,1.0
A Malarious Type,13,1,1,1.0,1.0
A Marked Decrease To The Lowest Recorded Figure Of . Per,0,1,1,1.0,1.0
A Mean Of,24,1,1,1.0,1.0
A Most Virulent Form,0,53,64,0.828125,109.0
A Much Greater Extent In,59,1,1,1.0,1.0
A Naval Rating In Poona Hospital,7,1,1,1.0,1.0
A Pair Of Spines Or Spurs,20,1,1,1.0,1.0
A Per Cent Solution Was Highly Efficient,148,1,1,1.0,1.0
A Petri-dish Kept In An Upright Position,24,1,1,1.0,1.0
A Room,0,1,1,1.0,1.0
A Satisfactory Condition On The Whole As To Cleanliness And Conservancy,0,31,39,0.794872,80.0
A Secondary Character,6,2,2,1.0,2.0
A Section Of Reacting Muscle,0,1,1,1.0,1.0
A Segregation Hospital With A Special Qualified Medical Officer,0,1,1,1.0,1.0
A Similar Nature Occurs In,83,1,1,1.0,1.0
A Small Depressed Centre,3,1,1,1.0,1.0
A Small Jeerah On Blacksoil Below Village,0,1,1,1.0,1.0
A Smaller Cell Splitting Off,0,1,1,1.0,1.0
A Sporadic Form Was Hanging About The District In The Beginning Of,0,1,1,1.0,1.0
A State Of Cloudy Swelling,3,1,1,1.0,1.0
"A State Of Cloudy Swelling, With Granular Protoplasm And Indistinct Nuclei",3,1,1,1.0,1.0
A Thorough Character Should Be Instituted,0,1,1,1.0,1.0
A Thrombosed And Bursting Vessel,0,1,1,1.0,1.0
A Type Not Previously Observed By Me In This Climate,0,1,1,1.0,1.0
A Well About Yard From The Sepoys Tents,39,1,1,1.0,1.0
A Well Developed Condition,0,155,243,0.63786,426.0
A Whitish Central Double Line Broadest On The Proximate Segment,6,1,1,1.0,1.0
A.m. On Next Day,0,1,1,1.0,1.0
"A.m. To Noon At C, From Noon To P.m. At C, From",0,24,39,0.615385,79.0
AND OTHER MOSQUITOES IN KARACHI,0,51,69,0.73913,141.0
AT,0,1,1,1.0,2.0
Abandoned,0,2,2,1.0,2.0
Abandoned Definitely,38,1,1,1.0,1.0
Abandoned Due To,0,1,1,1.0,1.0
Abandoned On Account Of,0,1,1,1.0,1.0
Abandonment Of Fairs Due To,0,2,2,1.0,2.0
Abated,39,1,1,1.0,3.0
Abated After,3,1,1,1.0,1.0
Abated In,0,1,4,0.25,4.0
Abated In August And September,0,1,1,1.0,1.0
Abated With The Setting In Of,0,1,1,1.0,1.0
Aberration Of Intellect Caused By,0,1,1,1.0,1.0
Ability To Grow At,0,135,178,0.758427,260.0
Ability To Ripen Cream Properly,0,1,1,1.0,1.0
Able To Convert Carotene Into Vitamin-a Much More Readily Than,130,42,55,0.763636,94.0
Able To Feed Themselves,0,65,112,0.580357,312.0
Able To Live For Long Periods,0,1,1,1.0,1.0
Able To Live In,0,1,1,1.0,1.0
Able To Make Sounds,0,1,1,1.0,1.0
Able To Strike A Positive Balance With An Intake Of To Gm,0,1,1,1.0,1.0
Able To Talk A Little,0,55,83,0.662651,121.0
Able To Travel To,11,2,2,1.0,2.0
Able To Visit Unregistered Women,0,1,1,1.0,1.0
"Abnormal Division Into Cells, Instead Of Forming Sporidia",14,1,1,1.0,1.0
"Abolition Of And Transfer Of The Inmates To Berhampore, Has Reduced The",0,1,1,1.0,1.0
Abolition Of The System Of,0,1,1,1.0,1.0
Abort As The Result Of,5,3,3,1.0,5.0
Aborted And Died From,0,1,1,1.0,1.0
Aborted On The,5,1,1,1.0,1.0
Abortion,92,1,1,1.0,1.0
Abortion When,0,1,1,1.0,1.0
Abounded,0,1,1,1.0,1.0
Abounded As Usual,0,1,1,1.0,1.0
Abounded In,0,4,4,1.0,4.0
Abounds In Difficulties,0,21,40,0.525,94.0
"Abounds To A Degree As Great As Is Manifested In Beerbhoom, Bankoora",9,3,3,1.0,3.0
About,82,2,4,0.5,10.0
About And Times More Susceptible Than,0,60,93,0.645161,148.0
About Four To Five Times The Vitamin-a Contents Of,130,1,1,1.0,1.0
About Half As Many,0,25,36,0.694444,63.0
About Once A Week Using Chittacks Or Ounces Of Mutton Or Goat,0,1,1,1.0,1.0
About One-half Of The Infants Born In The Past Year Were Protected,0,49,51,0.960784,105.0
About P.M,3,1,1,1.0,1.0
About Sixty Miles To The South Of,7,1,1,1.0,1.0
About The House For The Last Fortnight,0,1,1,1.0,1.0
About The Seat,0,1,1,1.0,1.0
About The Th Of The Month I Found The Vesicles Were Beginning,52,1,1,1.0,1.0
About To,6,1,1,1.0,1.0
About To Be Sunk At,0,2,2,1.0,2.0
About Two Ounces Of Greenish Matter Mixed With Froth And Mucus,0,1,1,1.0,1.0
About Which There Is Little Likelihood Of Mistake,0,1,1,1.0,1.0
Above,4,1,2,0.5,4.0
Above Ground Level,0,29,55,0.527273,94.0
Above The Optimum,32,1,1,1.0,1.0
Above Which Altitude Has An Effect On,0,1,1,1.0,1.0
Abscess In,3,1,1,1.0,1.0
Abscesses Scattered Over The Body And In The Organs,0,1,1,1.0,1.0
Absconded,0,1,1,1.0,1.0
Absconded For,8,1,1,1.0,1.0
Absence From The Town And Sickness Amongst Children,0,1,1,1.0,1.0
Absence Of Cross,0,112,146,0.767123,252.0
Absence Of Efficient Organization For Detection,0,1,1,1.0,1.0
Absence Of Perflation Oi Groups Of Buildings,142,1,1,1.0,1.0
Absent From Both Jail And Asylum,30,1,1,1.0,1.0
Absent In Europe On Furlough,7,1,1,1.0,1.0
Absent Or Very Small In Amount And Not Showing Organic Structure,0,123,180,0.683333,434.0
Absolutely Unaffected By Lying For Days In,133,2,2,1.0,2.0
Absorb,0,99,128,0.773438,181.0
Absorb Heat Faster Than,0,10,16,0.625,63.0
Absorb Oxygen From,0,1,1,1.0,1.0
Absorbed (tidy S Process,66,1,1,1.0,1.0
Absorbed And Made Use Of In The Economy,0,1,1,1.0,1.0
Absorbed From Diet,0,3,3,1.0,3.0
Absorbed Somewhat More Slowly Than,31,1,1,1.0,1.0
Absorption From Mutton,0,1,1,1.0,1.0
Absorption Takes Place From A Diet Containing,0,1,1,1.0,1.0
Abstract Of,0,546,780,0.7,1224.0
Abundance Of Adult,0,1,1,1.0,1.0
Abundant,15,1,1,1.0,1.0
Abundant After,0,1,1,1.0,1.0
Abundant And Cheap In The Poona Bazaars,0,43,67,0.641791,125.0
Abundant And Rare,0,56,85,0.658824,126.0
Abuse Of,0,1,1,1.0,2.0
Accelerated,0,1,2,0.5,3.0
Accelerated And Laboured,76,1,1,1.0,1.0
Accelerated Promotion Period From Captain To Major,0,191,455,0.41978,1109.0
Accelerates,0,1,1,1.0,2.0
Accelerates Ascent Of Fat,0,1,1,1.0,1.0
Accelerates Its March,10,1,1,1.0,1.0
Accentuated,46,1,1,1.0,1.0
Accentuates Effects Of Cold,0,27,66,0.409091,117.0
Accept Vaccination When Put To No Trouble About It,0,1,1,1.0,1.0
Accepted And Brought Into Force,0,1,1,1.0,1.0
Accepted As Johne S Bacilli,0,1,1,1.0,1.0
Accepted For Training During The Year,0,1,1,1.0,1.0
Accepted Proposals For Mosquito Survey,0,27,30,0.9,82.0
Accepted The Necessity,51,1,1,1.0,1.0
Accepted The Offer Of,11,1,1,1.0,1.0
Accidental Drowning,0,1,1,1.0,1.0
Accidentally Squirted Into,0,1,1,1.0,1.0
Acclimate Better Than,0,1,1,1.0,1.0
Accommodate,0,1,1,1.0,5.0
Accommodated,7,1,1,1.0,3.0
Accommodated In,0,3,4,0.75,7.0
Accommodated Together With,2,1,1,1.0,1.0
Accommodates,0,1,2,0.5,8.0
Accommodation At Sohawa Is Quite Inadequate For The Investigation Of,20,1,1,1.0,1.0
Accommodation Consists Of One Large Ward Accommodating Patients,8,1,1,1.0,1.0
Accommodation For In-patients And For The Veterinary Assistant Is Not Good,11,1,1,1.0,1.0
Accommodation For The Work In Which Is Increasing Rapidly,0,1,1,1.0,1.0
Accommodation Was Furnished For Suspected Persons And For The Medical Staff,0,1,1,1.0,1.0
Accompanied,0,1,2,0.5,4.0
Accompanied By,0,12,48,0.25,90.0
Accompanied By A Sensation Of,131,1,1,1.0,1.0
Accompanied By A Weak And Extremely Irregular And Intermittent Pulse,0,1,1,1.0,1.0
Accompanied By Breaking Down,0,119,150,0.793333,237.0
Accompanied By Pain And Restlessness,0,2,2,1.0,2.0
Accompanied By Tahsi Lda R Jowahir La L,99,1,1,1.0,1.0
Accompanied By Very Great Diminution Or Apparent Absolute Abolition Of Capacity For,0,1,1,1.0,
Accompanied The Patient As An Attendant,0,1,1,1.0,1.0
Accompanied With,0,5,9,0.555556,11.0
Accompanied With Acute Affection Of The Lungs,0,2,2,1.0,2.0
Accompanied With Tenderness On Manipulation At The Seat Of Inoculation,22,1,1,1.0,1.0
Accompanies,28,1,1,1.0,4.0
Accompany,0,9,9,1.0,11.0
Accompany Their Parents,0,1,1,1.0,1.0
Accompanying,0,2,2,1.0,2.0
Accompanying Each Corpse,0,1,1,1.0,1.0
Accomplished By,0,1,1,1.0,2.0
Accordance With Alleged Distress,0,1,1,1.0,1.0
According To,0,1,1,1.0,3.0
According To The,13,1,1,1.0,1.0
According To The Standard Plan,10,1,1,1.0,1.0
Accords Praise To The Police For The Activity Displayed In Arresting,8,1,1,1.0,1.0
Account For,0,14,17,0.823529,23.0
Account For Decline In Numbers Of Patients,0,1,1,1.0,1.0
Account For Increase In Population,10,1,1,1.0,1.0
Account For The Existence Of One Form Rather Than Another,0,1,1,1.0,2.0
Account For The Falling-off In Work,0,125,173,0.722543,375.0
Account Of,0,1,1,1.0,5.0
Account Of The,0,1,1,1.0,1.0
Accountable For,0,4,5,0.8,6.0
Accounted For Almost Per Cent Of The Total Deaths From Contagious Disease,0,1,1,1.0,1.0
Accounted For Almost Per Cent. Of The Total Deaths From Contagious Disease,0,1,1,1.0,1.0
Accounted For By,1,1,4,0.25,10.0
Accounted For By The Demoralized Condition Of The Native City,14,1,1,1.0,1.0
Accounted For Nearly Per Cent. (exact Proportion ) Of The Deaths Reported,26,3,3,1.0,4.0
Accounted For Over Per Cent,11,1,1,1.0,1.0
"Accounted For The Largest Number Of Mental Derangements, Viz",0,1,1,1.0,1.0
Accounting For,0,5,6,0.833333,9.0
Accounting For Most Of,1,1,1,1.0,1.0
Accounting For Over,0,1,1,1.0,1.0
Accounting For This,2,1,1,1.0,1.0
Accounts For,0,9,15,0.6,22.0
Accounts For A Surprisingly Small Number Of Admissions,1,1,1,1.0,1.0
Accounts For Most Of The Ethereal Sulphate,0,1,1,1.0,1.0
Accounts For Smaller Number Of Sick Last Year,0,1,1,1.0,1.0
Accounts For The Largest Share With The Lowest Percentage And Total Yield,0,1,1,1.0,1.0
Accounts For The Slight Excess Of This Rate Over That Of The,0,23,33,0.69697,76.0
Accounts Keeping Is Also Another Important Factor In Throwing Additional Work On,25,1,1,1.0,1.0
Accumulate In The Substomatic Spaces,0,15,35,0.428571,57.0
Accumulated In,3,3,4,0.75,5.0
Accumulates Between,0,1,1,1.0,1.0
Accumulates In,3,2,2,1.0,2.0
Accumulating Faster Than,2,1,1,1.0,1.0
Accuracy Works Out To Per Cent In The Strong Fibres For Length,16,1,1,1.0,1.0
Accurring Freely In The Lumen Of A Lymph Vessel,0,1,1,1.0,1.0
Accused But Usually Found Free From Disease,8,1,1,1.0,1.0
Accused Of Stealing,0,1,1,1.0,1.0
Accused Of Stealing A Dhoti Which She Saw Hanging To A Tree,11,1,1,1.0,1.0
Acetate Of Lead ... Powdered Ginger,36,169,295,0.572881,409.0
Achieve,21,1,1,1.0,1.0
Achieved Successfully,48,1,1,1.0,1.0
Achieved Through,19,2,2,1.0,2.0
Acidity Shall Not Exceed Three Units,0,1,1,1.0,1.0
Acme Is Attained In,75,1,1,1.0,1.0
Acquire Tolerance For,20,1,1,1.0,1.0
Acquired,59,1,1,1.0,3.0
Acquired An Additional Plot Of Bighas Of Land For,0,1,1,1.0,1.0
Acquired By,91,1,1,1.0,2.0
Acquired Spontaneously,0,1,1,1.0,1.0
Acquires,0,1,1,1.0,1.0
Acquiring More Confidence In,11,1,1,1.0,1.0
Acriflavine In Dilutions Of To Has A Definite Bactericidal Action On The,0,1,1,1.0,1.0
Across,0,1,1,1.0,1.0
Act,27,3,4,0.75,8.0
"Act As A Demulcent, Expectorant And Laxative",89,1,1,1.0,1.0
Act As A Digestive Before Food,0,1,1,1.0,1.0
Act As Carriers,0,89,121,0.735537,223.0
Act As Digestive Element To Persons Not Accustomed To Eat Or Drink,0,1,1,1.0,1.0
Act As Intermediary Bodies Or Amboceptors,15,1,1,1.0,1.0
Act As Supporting Buttresses To Counteract The Tendency Of The Dilator Muscles,61,1,1,1.0,1.0
Act As Well As Large Doses,0,1,1,1.0,1.0
Act At Bellary Is Taken Little Interest In,8,1,1,1.0,1.0
Act Chiefly By Virtue Of Their Warmth Or Moisture,7,2,2,1.0,2.0
Act Conferring Powers Under,0,60,112,0.535714,174.0
Act In The Medical Department,0,1,1,1.0,1.0
Act Most Beneficially In Freeing The Air Of Impurities,0,1,1,1.0,1.0
Act On,0,1,1,1.0,1.0
Act Primarily On,0,1,1,1.0,1.0
Act To Provide For The Better Prevention Of The Spread Of,0,276,384,0.71875,694.0
Act Under The Orders Of,0,1,1,1.0,1.0
Acted,0,1,1,1.0,2.0
Acted As,0,3,3,1.0,10.0
Acted As A Member And Secretary To,0,1,1,1.0,1.0
Acted As An Examiner At The Annual And Diploma Examinations,0,1,1,1.0,1.0
Acted As An Examiner At The Annual And Diploma Examinations Of The,0,1,1,1.0,1.0
Acted As An Examiner At The Annual Examinations Of,0,1,1,1.0,1.0
Acted As An Examiner In,0,1,1,1.0,1.0
Acted As Consultant To,0,1,1,1.0,1.0
Acted As Member Of,0,182,290,0.627586,571.0
Acted As One Of The Judges At The Shows At,0,2,2,1.0,2.0
Acted As The Secretary And An Examiner At The First Half-yearly Professional,0,1,1,1.0,1.0
Acted For,0,4,4,1.0,7.0
Acted For Him During The Remaining Part Of The Year,0,1,1,1.0,1.0
Acted For Professor Sibthorpe Whilst He Was Conducting,0,1,1,1.0,1.0
Acted For The Superintendent During His Absence On Leave,0,1,1,1.0,1.0
Acted In Place As,7,1,1,1.0,1.0
Acting As,0,2,2,1.0,3.0
Acting In People Already Worn Down By,0,1,1,1.0,1.0
Acting On Constitutions Undermined By Famine,0,1,1,1.0,1.0
Acting Police Surgeon For,51,1,1,1.0,1.0
Acting Principal Of,0,1,1,1.0,1.0
Acting Together,72,1,1,1.0,1.0
Acting Upon A Mind,0,1,1,1.0,1.0
Acting Upon Class B Corpuscles,0,1,1,1.0,1.0
Action Becomes Violent And Tumultuous,10,1,1,1.0,1.0
Action Directed Especially To The Speedy Discovery Of The Source Of Any,0,1,1,1.0,1.0
Action Is More Prolonged,0,18,38,0.473684,70.0
Action Of Ammonia In Dilute Solution Suffices To Kill The Parasites,0,1,1,1.0,1.0
Action Of Caffeine On The Capacity For Muscular Work,0,32,44,0.727273,154.0
Action Of Extraneous Antidote,90,1,1,1.0,1.0
"Action Of Formaldehyde On The Aggressive Substance Of Blackleg Filtrate, Bacterin And",0,1,1,1.0,
Action Of Histamine On The Suprarenal Glands,0,1,1,1.0,1.0
Action Of Strong Sunlight Upon,0,27,62,0.435484,99.0
Action Of Strychnine And Reflex Inhibition Of Skeletal Muscle,0,1,1,1.0,1.0
Action Of The Alkaloids Of The Papaveraceae Upon The Isolated Frog S,14,387,544,0.711397,746.0
Action On Distoma,0,1,1,1.0,1.0
Action On The Nervous System Is Quite Secondary To The Changes Which,15,1,1,1.0,1.0
Action Taken By,18,1,1,1.0,1.0
Action Taken By Him In,0,1,1,1.0,1.0
Action To Be Taken On Outbreak Of,0,1,1,1.0,1.0
Action To Be Taken On The Occurrence Of,0,1,1,1.0,1.0
Action Towards Clothes,131,1,1,1.0,1.0
Actions Are Further Studied On Various Organs,0,1,1,1.0,1.0
Activated By,84,1,1,1.0,2.0
Activates,32,1,1,1.0,1.0
Active,58,1,1,1.0,1.0
Active Agent In,1,1,1,1.0,1.0
Active And Moving In,0,36,52,0.692308,87.0
Active Constant Movement,19,1,1,1.0,1.0
Active For Days When Dried At,0,79,125,0.632,261.0
Active In The Central And Orissa Ranges,64,1,1,1.0,1.0
Active Principle Of,33,1,1,1.0,2.0
Actively Motile And Isolated,0,98,130,0.753846,223.0
Actively Moving Pigment,0,1,1,1.0,1.0
Activity,0,3,4,0.75,4.0
Activity Depressed By,16,1,1,1.0,1.0
Activity Involving,0,2,2,1.0,3.0
"Activity Is Comparable To Other Well-known Anthelmintics, Extract Filic. And Carbon Tetrachloride",0,1,1,1.0,
Activity Is Increased Simultaneously With The Higher Rate Of Productive Metabolism,0,1,1,1.0,
Activity Of,0,3,4,0.75,4.0
Activity Related To,0,1,1,1.0,1.0
Activity Was Decreased To Approximately The Normal Amount,24,1,1,1.0,1.0
Acts Against Advice Of Soundness Of Mind And Morality,0,1,1,1.0,1.0
Acts As,0,2,3,0.666667,5.0
Acts As A Direct Nervous Irritant,15,1,1,1.0,1.0
Acts As A Food Accessory And Digestive,0,1,1,1.0,1.0
Acts As A Limiting Factor For,0,1,1,1.0,1.0
Acts As A Pleasant Work,0,61,82,0.743902,163.0
Acts As A Powerful Depressant Poison Upon Both Respiration And Circulation,0,3,3,1.0,3.0
"Acts As A Preservative Against The Action Of Light, Air And Moisture",0,1,1,1.0,1.0
Acts As A Primary Blood-poison,0,1,1,1.0,1.0
Acts As An Activating Substance,90,1,1,1.0,1.0
Acts As An Air-channel From The One To The Other,17,1,1,1.0,1.0
Acts As An Appetiser,0,1,1,1.0,1.0
Acts As An Appetizer,0,1,1,1.0,1.0
Acts As Consultant To The Hospital,9,1,1,1.0,1.0
Acts As Digestive,0,1,1,1.0,1.0
Acts As Febrifuge Or Preventive Of Disease,0,1,1,1.0,1.0
Acts As Stimulant And Increases Appetite,0,1,1,1.0,1.0
Acts As The Intermediate Host,0,1,1,1.0,1.0
Acts As The Predisposing Cause Of,0,1,1,1.0,1.0
Acts For,0,1,1,1.0,1.0
Acts In The Opposite Way,0,1,1,1.0,1.0
"Acts Injuriously On The Nervous System, Inflames Temper, Weakens Sense Of Moral",0,1,1,1.0,1.0
Acts Just The Reverse Of The Last Answer Produces Drowsiness And Sleep,0,1,1,1.0,1.0
Acts Like A Charm,0,1,1,1.0,1.0
Acts More As A Predisposing Than As An Exciting Cause,0,1,1,1.0,1.0
Acts Most Effectually As A Deodorant,0,1,1,1.0,1.0
Acts Primarily As A Blood Poison,15,1,1,1.0,1.0
Acts Somewhat Like A Stimulant And Dispels Fatigue,0,1,1,1.0,1.0
Acts To Some Extent In Preventing Recovery From,20,1,1,1.0,1.0
"Actual Cost, After Deducting Receipts From Paying Patients",41,1,1,1.0,1.0
Actually Lost As Flesh,0,3,3,1.0,3.0
Acute,1,33,65,0.507692,88.0
Acute Amphistomiasis Of,0,1,1,1.0,1.0
Acute Delirium,1,1,1,1.0,1.0
Acute Dementia,0,1,1,1.0,1.0
Acute Outbreak Of Dysentery Was Traced To Extremely Faulty Sanitary And Cookhouse,0,1,1,1.0,
Acute Pains In,4,1,1,1.0,1.0
Adapt Itself To The Shape Of,0,1,1,1.0,1.0
Adapted For,43,1,1,1.0,1.0
Adapted To,0,1,1,1.0,1.0
Adapted To Allow Multiplication Of The Bacilli And Development Of Arthrospores From,0,1,1,1.0,
Adapted To Climate,16,1,1,1.0,1.0
Adapted To Give Rise By,0,1,1,1.0,1.0
Adapted To Their Environments,0,1,1,1.0,1.0
Adapts Itself To,0,1,1,1.0,1.0
Add A Small Quantity Of Broken Poppy-heads,0,1,1,1.0,1.0
Added At Selected Points On The Wall,0,1,1,1.0,1.0
Added At Vizagapatam,77,1,1,1.0,1.0
Added Books To The Library Of,0,1,1,1.0,1.0
Added By Criminals To Majum For Administering To Their Victims,36,1,1,1.0,1.0
Added By Purchase From The Hissar Cattle Farm,0,1,1,1.0,1.0
Added Greatly To,0,1,1,1.0,1.0
Added In Each Tube,0,25,42,0.595238,96.0
Added Much To,13,2,2,1.0,2.0
Added Nearly Per Cent,0,1,1,1.0,1.0
Added Their Normal Quota To The Death-rate,0,1,1,1.0,1.0
Added To Each Jar,0,1,1,1.0,5.0
Added To Each Ration In Lieu Of The Issue Of Parched Gram,0,1,1,1.0,1.0
Added To Preserve,85,1,1,1.0,1.0
Added To The Cadre,34,1,1,1.0,1.0
Added To The Duties,0,67,90,0.744444,121.0
Added To The List Of Infected Places,0,1,1,1.0,1.0
Added To The Soil Before Sterilization,0,11,23,0.478261,78.0
Added To The Triturated Pulp,0,1,1,1.0,1.0
Added To The Well,0,1,1,1.0,1.0
Added To Whip Up Effects Of Hemp,0,1,1,1.0,1.0
Added Very Seriously To,0,1,1,1.0,1.0
Addicted To,0,12,12,1.0,18.0
Addicted To A Certain Extent To,0,80,105,0.761905,142.0
Addicted To By,0,2,2,1.0,2.0
Addicted To Sodomy,0,1,1,1.0,1.0
Addicted To The Excessive Use Of,0,1,1,1.0,1.0
Addicted To The Use Of,0,1,1,1.0,1.0
Addicted To Their Use Are Not Likely To Do Without Some Intoxicant,0,1,1,1.0,1.0
"Addicted To Use Of Bhang Daily, Occasionally To Ganja",0,1,1,1.0,1.0
Adding To Hydrogenated Fat To Distinguish It From,0,1,1,1.0,1.0
Addition Is Not Of Much Importance In Cattle Feeding,0,1,1,1.0,1.0
Addition Of Dhoby Allowances Sanctioned To The Nursing Staff,0,1,1,1.0,1.0
Addition Of Phenol Preservative Was Found To Have A Very Marked Effect,0,1,1,1.0,1.0
Addition To,0,73,130,0.561538,256.0
"Addition To A Wound, There Is Much Bruising Of The Surrounding Parts",95,1,1,1.0,1.0
Addition To The Hairs Covering The Majority Of Segments A Few Scales,7,1,1,1.0,1.0
Addition To The Iron Gratings,0,1,1,1.0,1.0
Addition To The Number,81,1,1,1.0,1.0
Additional Commissioned And Non-commissioned Medical Officers,0,152,184,0.826087,297.0
Additional Have Been Examined,0,187,234,0.799145,368.0
Additions To Office Staff Of,0,1,1,1.0,1.0
Additions To Our Scientific Knowledge Of,46,1,1,1.0,1.0
Addressed A Letter To The Municipal Commissioner Making Further Complaints Regarding,0,1,1,1.0,
Addressed A Meeting,126,1,1,1.0,1.0
Addressed The Municipal Commissioner,117,1,1,1.0,1.0
Addressed To,0,2,2,1.0,2.0
Addressed To Reserve,0,1,1,1.0,1.0
Aden,72,1,1,1.0,1.0
"Adequate, The Transport Power May Be Augmented",0,1,1,1.0,1.0
Adhere About The Orifice And Prevent Its Being Detached Afterwards,0,1,1,1.0,1.0
Adhere By Means Of,48,1,1,1.0,1.0
Adhere Firmly To,0,1,1,1.0,1.0
Adhere To,0,2,2,1.0,3.0
Adhere To One Another,3,1,1,1.0,1.0
Adhere To The Particles Of Sand And Dirt,0,1,1,1.0,1.0
Adhere To The Spores When Detached By Friction Subsequent To The Rupture,53,1,1,1.0,1.0
Adherent,53,3,3,1.0,3.0
Adherent To,0,1,5,0.2,7.0
Adherent To The Wall Of The Vessel Except At Its Free End,0,1,1,1.0,1.0
Adhering To,0,1,1,1.0,2.0
Adhering To One Another Marginally,0,1,1,1.0,1.0
Adjoins,0,2,2,1.0,3.0
Adjoins The New Dock Enclosure,0,1,1,1.0,1.0
Adjusted To,0,1,1,1.0,1.0
Adjusted To Give Deflection Of,108,1,1,1.0,1.0
Adjusted To The Standard Length Of Days,0,1,1,1.0,1.0
Adjusted To The Standard Length Of Days By The Methods Illustrated In,0,1,1,1.0,1.0
Adjusting Yields To The Standard Length Of Days,0,2,2,1.0,2.0
Adjustment Of Direction So That Light Comes From The Scholars Left Side,6,1,1,1.0,1.0
Administered,0,125,327,0.382263,515.0
Administered Always With Good Results,0,26,32,0.8125,70.0
Administered As An Anesthetic,0,1,1,1.0,1.0
Administered As Medicine In Flatulence,0,4,4,1.0,4.0
Administered As Usual,0,1,1,1.0,1.0
Administered At Intervals Of Two To Seven Days,0,1,1,1.0,1.0
Administered At The Right Time,0,1,1,1.0,1.0
Administered Before,15,3,3,1.0,5.0
Administered By The Mouth Is About Five Times Less Toxic Than,0,1,1,1.0,1.0
Administered Coincidently With Antidote,90,1,1,1.0,1.0
Administered Distally To,15,1,1,1.0,1.0
Administered Gently,0,1,1,1.0,1.0
Administered In Cases Of Dyspepsia And Colds And Coughs,0,1,1,1.0,1.0
Administered In Doses Ranging From To Grms,0,1,1,1.0,1.0
Administered In Drench Or Bolus At A Period Of Paroxysm,0,1,1,1.0,1.0
Administered In Full Doses,0,1,1,1.0,1.0
Administered In Opposite One,15,1,1,1.0,1.0
Administered In Ordinary Way,45,1,1,1.0,1.0
Administered In Small Doses,79,1,1,1.0,1.0
Administered In The Left One,15,1,1,1.0,1.0
Administered In This Way Will Be At Least As Effectual As Given,0,1,1,1.0,1.0
Administered Internally In,1,5,5,1.0,5.0
Administered Intramuscularly,45,1,1,1.0,3.0
Administered Intravenously Alone,0,3,3,1.0,3.0
