relation,topic,count,total,prop
1st April To,0,74,124,0.596774
1st April To,1,17,124,0.137097
1st April To,4,1,124,0.008065
1st April To,9,1,124,0.008065
1st April To,10,1,124,0.008065
1st April To,11,2,124,0.016129
1st April To,17,1,124,0.008065
1st April To,19,5,124,0.040323
1st April To,25,1,124,0.008065
1st April To,28,4,124,0.032258
1st April To,32,3,124,0.024194
1st April To,43,3,124,0.024194
1st April To,46,1,124,0.008065
1st April To,48,1,124,0.008065
1st April To,58,1,124,0.008065
1st April To,59,1,124,0.008065
1st April To,69,1,124,0.008065
1st April To,78,1,124,0.008065
1st April To,110,1,124,0.008065
1st April To,159,3,124,0.024194
1st April To,161,1,124,0.008065
1st Class Superintendent Bapu Rao And 4th Class Superintendent Gangadharam,4,1,1,1.0
1st Class Vaccinators,0,521,683,0.762811
1st Class Vaccinators,4,1,683,0.001464
1st Class Vaccinators,6,9,683,0.013177
1st Class Vaccinators,7,8,683,0.011713
1st Class Vaccinators,10,1,683,0.001464
1st Class Vaccinators,11,3,683,0.004392
1st Class Vaccinators,13,20,683,0.029283
1st Class Vaccinators,18,4,683,0.005857
1st Class Vaccinators,21,6,683,0.008785
1st Class Vaccinators,27,2,683,0.002928
1st Class Vaccinators,28,3,683,0.004392
1st Class Vaccinators,33,4,683,0.005857
1st Class Vaccinators,34,21,683,0.030747
1st Class Vaccinators,36,1,683,0.001464
1st Class Vaccinators,37,3,683,0.004392
1st Class Vaccinators,38,1,683,0.001464
1st Class Vaccinators,50,22,683,0.032211
1st Class Vaccinators,53,1,683,0.001464
1st Class Vaccinators,59,1,683,0.001464
1st Class Vaccinators,61,3,683,0.004392
1st Class Vaccinators,68,5,683,0.007321
1st Class Vaccinators,73,5,683,0.007321
1st Class Vaccinators,78,3,683,0.004392
1st Class Vaccinators,80,1,683,0.001464
1st Class Vaccinators,81,1,683,0.001464
1st Class Vaccinators,83,1,683,0.001464
1st Class Vaccinators,84,1,683,0.001464
1st Class Vaccinators,87,1,683,0.001464
1st Class Vaccinators,93,2,683,0.002928
1st Class Vaccinators,121,3,683,0.004392
1st Class Vaccinators,125,1,683,0.001464
1st Class Vaccinators,130,5,683,0.007321
1st Class Vaccinators,132,1,683,0.001464
1st Class Vaccinators,138,1,683,0.001464
1st Class Vaccinators,146,8,683,0.011713
1st Class Vaccinators,149,3,683,0.004392
1st Class Vaccinators,154,2,683,0.002928
1st Class Vaccinators,155,3,683,0.004392
1st Class Vaccinators,164,1,683,0.001464
1st Day C.c Ars. Ac. Sol,0,16,82,0.195122
1st Day C.c Ars. Ac. Sol,1,7,82,0.085366
1st Day C.c Ars. Ac. Sol,3,1,82,0.012195
1st Day C.c Ars. Ac. Sol,4,1,82,0.012195
1st Day C.c Ars. Ac. Sol,11,1,82,0.012195
1st Day C.c Ars. Ac. Sol,13,1,82,0.012195
1st Day C.c Ars. Ac. Sol,19,3,82,0.036585
1st Day C.c Ars. Ac. Sol,20,28,82,0.341463
1st Day C.c Ars. Ac. Sol,21,1,82,0.012195
1st Day C.c Ars. Ac. Sol,26,1,82,0.012195
1st Day C.c Ars. Ac. Sol,28,1,82,0.012195
1st Day C.c Ars. Ac. Sol,30,2,82,0.02439
1st Day C.c Ars. Ac. Sol,32,3,82,0.036585
1st Day C.c Ars. Ac. Sol,33,2,82,0.02439
1st Day C.c Ars. Ac. Sol,45,1,82,0.012195
1st Day C.c Ars. Ac. Sol,47,1,82,0.012195
1st Day C.c Ars. Ac. Sol,69,2,82,0.02439
1st Day C.c Ars. Ac. Sol,75,1,82,0.012195
1st Day C.c Ars. Ac. Sol,86,1,82,0.012195
1st Day C.c Ars. Ac. Sol,95,1,82,0.012195
1st Day C.c Ars. Ac. Sol,101,1,82,0.012195
1st Day C.c Ars. Ac. Sol,103,1,82,0.012195
1st Day C.c Ars. Ac. Sol,117,1,82,0.012195
1st Day C.c Ars. Ac. Sol,131,3,82,0.036585
1st Day C.c Ars. Ac. Sol,134,1,82,0.012195
1st Ditto,185,2,2,1.0
1st Lactation (lb,0,368,400,0.92
1st Lactation (lb,2,5,400,0.0125
1st Lactation (lb,4,1,400,0.0025
1st Lactation (lb,6,1,400,0.0025
1st Lactation (lb,7,5,400,0.0125
1st Lactation (lb,18,4,400,0.01
1st Lactation (lb,21,2,400,0.005
1st Lactation (lb,27,2,400,0.005
1st Lactation (lb,56,2,400,0.005
1st Lactation (lb,58,4,400,0.01
1st Lactation (lb,61,2,400,0.005
1st Lactation (lb,76,1,400,0.0025
1st Lactation (lb,117,1,400,0.0025
1st Lactation (lb,135,1,400,0.0025
1st Lactation (lb,180,1,400,0.0025
1st Prize,0,43,121,0.355372
1st Prize,1,4,121,0.033058
1st Prize,3,3,121,0.024793
1st Prize,20,2,121,0.016529
1st Prize,25,13,121,0.107438
1st Prize,33,11,121,0.090909
1st Prize,36,1,121,0.008264
1st Prize,37,1,121,0.008264
1st Prize,61,2,121,0.016529
1st Prize,65,2,121,0.016529
1st Prize,86,1,121,0.008264
1st Prize,101,5,121,0.041322
1st Prize,118,1,121,0.008264
1st Prize,131,1,121,0.008264
1st Prize,143,3,121,0.024793
1st Prize,147,1,121,0.008264
1st Prize,185,27,121,0.22314
1st Test Insufflation Date,7,1,1,1.0
"2nd Class After Years Service In The 3rd Class, Subject To Having",0,132,445,0.296629
"2nd Class After Years Service In The 3rd Class, Subject To Having",1,18,445,0.040449
"2nd Class After Years Service In The 3rd Class, Subject To Having",2,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",3,5,445,0.011236
"2nd Class After Years Service In The 3rd Class, Subject To Having",4,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",5,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",6,12,445,0.026966
"2nd Class After Years Service In The 3rd Class, Subject To Having",7,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",9,4,445,0.008989
"2nd Class After Years Service In The 3rd Class, Subject To Having",10,8,445,0.017978
"2nd Class After Years Service In The 3rd Class, Subject To Having",12,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",13,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",14,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",15,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",16,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",18,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",19,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",21,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",23,6,445,0.013483
"2nd Class After Years Service In The 3rd Class, Subject To Having",26,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",27,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",30,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",31,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",32,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",33,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",35,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",36,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",38,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",39,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",41,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",42,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",44,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",45,162,445,0.364045
"2nd Class After Years Service In The 3rd Class, Subject To Having",47,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",48,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",49,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",53,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",54,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",56,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",62,4,445,0.008989
"2nd Class After Years Service In The 3rd Class, Subject To Having",71,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",74,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",75,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",81,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",84,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",85,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",86,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",87,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",90,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",98,4,445,0.008989
"2nd Class After Years Service In The 3rd Class, Subject To Having",100,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",101,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",109,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",114,3,445,0.006742
"2nd Class After Years Service In The 3rd Class, Subject To Having",132,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",135,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",143,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",148,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",158,2,445,0.004494
"2nd Class After Years Service In The 3rd Class, Subject To Having",161,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",165,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",183,1,445,0.002247
"2nd Class After Years Service In The 3rd Class, Subject To Having",184,1,445,0.002247
2nd Lactation (lb,0,22,97,0.226804
2nd Lactation (lb,1,1,97,0.010309
2nd Lactation (lb,2,2,97,0.020619
2nd Lactation (lb,3,3,97,0.030928
2nd Lactation (lb,4,1,97,0.010309
2nd Lactation (lb,5,1,97,0.010309
2nd Lactation (lb,6,1,97,0.010309
2nd Lactation (lb,7,1,97,0.010309
2nd Lactation (lb,9,1,97,0.010309
2nd Lactation (lb,13,2,97,0.020619
2nd Lactation (lb,16,1,97,0.010309
2nd Lactation (lb,17,4,97,0.041237
2nd Lactation (lb,18,1,97,0.010309
2nd Lactation (lb,19,1,97,0.010309
2nd Lactation (lb,23,1,97,0.010309
2nd Lactation (lb,33,1,97,0.010309
2nd Lactation (lb,48,1,97,0.010309
2nd Lactation (lb,50,1,97,0.010309
2nd Lactation (lb,51,2,97,0.020619
2nd Lactation (lb,54,1,97,0.010309
2nd Lactation (lb,55,1,97,0.010309
2nd Lactation (lb,72,1,97,0.010309
2nd Lactation (lb,97,1,97,0.010309
2nd Lactation (lb,102,5,97,0.051546
2nd Lactation (lb,125,2,97,0.020619
2nd Lactation (lb,129,5,97,0.051546
2nd Lactation (lb,150,1,97,0.010309
2nd Lactation (lb,180,32,97,0.329897
2nd Test Insufflation Date,7,1,1,1.0
2s,0,49,160,0.30625
2s,1,8,160,0.05
2s,2,9,160,0.05625
2s,3,1,160,0.00625
2s,4,2,160,0.0125
2s,5,1,160,0.00625
2s,7,1,160,0.00625
2s,10,2,160,0.0125
2s,11,3,160,0.01875
2s,16,1,160,0.00625
2s,17,1,160,0.00625
2s,19,1,160,0.00625
2s,21,1,160,0.00625
2s,22,2,160,0.0125
2s,23,3,160,0.01875
2s,26,2,160,0.0125
2s,28,1,160,0.00625
2s,30,1,160,0.00625
2s,32,1,160,0.00625
2s,33,4,160,0.025
2s,38,3,160,0.01875
2s,40,2,160,0.0125
2s,42,1,160,0.00625
2s,43,2,160,0.0125
2s,45,5,160,0.03125
2s,47,1,160,0.00625
2s,49,1,160,0.00625
2s,55,1,160,0.00625
2s,57,2,160,0.0125
2s,61,4,160,0.025
2s,65,1,160,0.00625
2s,66,1,160,0.00625
2s,70,1,160,0.00625
2s,75,1,160,0.00625
2s,78,1,160,0.00625
2s,84,1,160,0.00625
2s,85,2,160,0.0125
2s,88,1,160,0.00625
2s,91,1,160,0.00625
2s,92,2,160,0.0125
2s,97,8,160,0.05
2s,98,4,160,0.025
2s,102,1,160,0.00625
2s,103,1,160,0.00625
2s,106,1,160,0.00625
2s,118,1,160,0.00625
2s,119,1,160,0.00625
2s,131,1,160,0.00625
2s,139,2,160,0.0125
2s,140,1,160,0.00625
2s,154,5,160,0.03125
2s,155,1,160,0.00625
2s,180,2,160,0.0125
2s,185,3,160,0.01875
3) Assist At The Arranging And Counting Of The Rats,0,15,133,0.112782
3) Assist At The Arranging And Counting Of The Rats,1,12,133,0.090226
3) Assist At The Arranging And Counting Of The Rats,23,1,133,0.007519
3) Assist At The Arranging And Counting Of The Rats,30,100,133,0.75188
3) Assist At The Arranging And Counting Of The Rats,59,1,133,0.007519
3) Assist At The Arranging And Counting Of The Rats,89,4,133,0.030075
"3rd, 4th, 5th And Apex Of 2nd Tarsal Segments Are",10,1,1,1.0
"3rd, 4th, 5th, And The Apex Of The 2nd Tarsal Segments Are",10,1,1,1.0
5) Take Smears From The Spleen And See That The Slides Are,0,32,116,0.275862
5) Take Smears From The Spleen And See That The Slides Are,1,3,116,0.025862
5) Take Smears From The Spleen And See That The Slides Are,4,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,8,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,16,3,116,0.025862
5) Take Smears From The Spleen And See That The Slides Are,52,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,87,3,116,0.025862
5) Take Smears From The Spleen And See That The Slides Are,89,68,116,0.586207
5) Take Smears From The Spleen And See That The Slides Are,117,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,120,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,131,1,116,0.008621
5) Take Smears From The Spleen And See That The Slides Are,183,1,116,0.008621
5th October To Th November,0,67,159,0.421384
5th October To Th November,1,15,159,0.09434
5th October To Th November,2,1,159,0.006289
5th October To Th November,3,4,159,0.025157
5th October To Th November,4,11,159,0.069182
5th October To Th November,6,1,159,0.006289
5th October To Th November,10,1,159,0.006289
5th October To Th November,12,2,159,0.012579
5th October To Th November,13,2,159,0.012579
5th October To Th November,17,1,159,0.006289
5th October To Th November,19,4,159,0.025157
5th October To Th November,21,1,159,0.006289
5th October To Th November,22,3,159,0.018868
5th October To Th November,24,1,159,0.006289
5th October To Th November,28,1,159,0.006289
5th October To Th November,30,1,159,0.006289
5th October To Th November,31,2,159,0.012579
5th October To Th November,32,1,159,0.006289
5th October To Th November,33,1,159,0.006289
5th October To Th November,38,2,159,0.012579
5th October To Th November,45,1,159,0.006289
5th October To Th November,61,1,159,0.006289
5th October To Th November,64,1,159,0.006289
5th October To Th November,70,1,159,0.006289
5th October To Th November,71,1,159,0.006289
5th October To Th November,74,1,159,0.006289
5th October To Th November,78,1,159,0.006289
5th October To Th November,88,1,159,0.006289
5th October To Th November,92,1,159,0.006289
5th October To Th November,101,1,159,0.006289
5th October To Th November,117,3,159,0.018868
5th October To Th November,121,1,159,0.006289
5th October To Th November,124,1,159,0.006289
5th October To Th November,135,1,159,0.006289
5th October To Th November,138,1,159,0.006289
5th October To Th November,152,19,159,0.119497
5th October To Th November,161,1,159,0.006289
5μ From The Anterior End,0,88,202,0.435644
5μ From The Anterior End,1,5,202,0.024752
5μ From The Anterior End,2,1,202,0.00495
5μ From The Anterior End,3,7,202,0.034653
5μ From The Anterior End,4,4,202,0.019802
5μ From The Anterior End,6,4,202,0.019802
5μ From The Anterior End,7,2,202,0.009901
5μ From The Anterior End,9,1,202,0.00495
5μ From The Anterior End,10,5,202,0.024752
5μ From The Anterior End,15,1,202,0.00495
5μ From The Anterior End,17,1,202,0.00495
5μ From The Anterior End,18,2,202,0.009901
5μ From The Anterior End,22,1,202,0.00495
5μ From The Anterior End,23,3,202,0.014851
5μ From The Anterior End,26,2,202,0.009901
5μ From The Anterior End,30,1,202,0.00495
5μ From The Anterior End,31,1,202,0.00495
5μ From The Anterior End,35,1,202,0.00495
5μ From The Anterior End,36,1,202,0.00495
5μ From The Anterior End,37,1,202,0.00495
5μ From The Anterior End,38,4,202,0.019802
5μ From The Anterior End,39,3,202,0.014851
5μ From The Anterior End,41,2,202,0.009901
5μ From The Anterior End,42,1,202,0.00495
5μ From The Anterior End,45,3,202,0.014851
5μ From The Anterior End,49,1,202,0.00495
5μ From The Anterior End,52,2,202,0.009901
5μ From The Anterior End,54,1,202,0.00495
5μ From The Anterior End,57,1,202,0.00495
5μ From The Anterior End,65,2,202,0.009901
5μ From The Anterior End,70,34,202,0.168317
5μ From The Anterior End,81,1,202,0.00495
5μ From The Anterior End,85,1,202,0.00495
5μ From The Anterior End,87,1,202,0.00495
5μ From The Anterior End,88,1,202,0.00495
5μ From The Anterior End,93,1,202,0.00495
5μ From The Anterior End,97,1,202,0.00495
5μ From The Anterior End,109,1,202,0.00495
5μ From The Anterior End,117,2,202,0.009901
5μ From The Anterior End,131,1,202,0.00495
5μ From The Anterior End,144,1,202,0.00495
5μ From The Anterior End,146,2,202,0.009901
5μ From The Anterior End,152,1,202,0.00495
5μ From The Anterior End,158,1,202,0.00495
5μ From The Anterior End,162,1,202,0.00495
8a Or 9d,0,34,90,0.377778
8a Or 9d,1,6,90,0.066667
8a Or 9d,2,2,90,0.022222
8a Or 9d,4,2,90,0.022222
8a Or 9d,5,1,90,0.011111
8a Or 9d,7,3,90,0.033333
8a Or 9d,13,1,90,0.011111
8a Or 9d,16,1,90,0.011111
8a Or 9d,17,1,90,0.011111
8a Or 9d,23,2,90,0.022222
8a Or 9d,24,1,90,0.011111
8a Or 9d,30,1,90,0.011111
8a Or 9d,31,1,90,0.011111
8a Or 9d,32,1,90,0.011111
8a Or 9d,33,2,90,0.022222
8a Or 9d,50,1,90,0.011111
8a Or 9d,52,1,90,0.011111
8a Or 9d,54,1,90,0.011111
8a Or 9d,57,2,90,0.022222
8a Or 9d,59,1,90,0.011111
8a Or 9d,70,1,90,0.011111
8a Or 9d,72,1,90,0.011111
8a Or 9d,75,1,90,0.011111
8a Or 9d,82,3,90,0.033333
8a Or 9d,88,2,90,0.022222
8a Or 9d,92,2,90,0.022222
8a Or 9d,98,1,90,0.011111
8a Or 9d,119,11,90,0.122222
8a Or 9d,152,1,90,0.011111
8a Or 9d,165,2,90,0.022222
; Irregular,0,82,227,0.361233
; Irregular,1,9,227,0.039648
; Irregular,2,4,227,0.017621
; Irregular,3,2,227,0.008811
; Irregular,4,6,227,0.026432
; Irregular,5,2,227,0.008811
; Irregular,6,3,227,0.013216
; Irregular,7,2,227,0.008811
; Irregular,9,6,227,0.026432
; Irregular,10,1,227,0.004405
; Irregular,11,4,227,0.017621
; Irregular,12,1,227,0.004405
; Irregular,13,1,227,0.004405
; Irregular,14,1,227,0.004405
; Irregular,15,1,227,0.004405
; Irregular,16,3,227,0.013216
; Irregular,17,3,227,0.013216
; Irregular,18,1,227,0.004405
; Irregular,19,1,227,0.004405
; Irregular,22,20,227,0.088106
; Irregular,23,1,227,0.004405
; Irregular,25,2,227,0.008811
; Irregular,26,3,227,0.013216
; Irregular,29,1,227,0.004405
; Irregular,30,3,227,0.013216
; Irregular,31,3,227,0.013216
; Irregular,32,1,227,0.004405
; Irregular,33,1,227,0.004405
; Irregular,36,1,227,0.004405
; Irregular,37,1,227,0.004405
; Irregular,38,1,227,0.004405
; Irregular,39,1,227,0.004405
; Irregular,41,6,227,0.026432
; Irregular,42,2,227,0.008811
; Irregular,43,3,227,0.013216
; Irregular,44,5,227,0.022026
; Irregular,49,1,227,0.004405
; Irregular,51,1,227,0.004405
; Irregular,54,2,227,0.008811
; Irregular,55,1,227,0.004405
; Irregular,59,1,227,0.004405
; Irregular,61,1,227,0.004405
; Irregular,62,2,227,0.008811
; Irregular,64,2,227,0.008811
; Irregular,66,2,227,0.008811
; Irregular,67,3,227,0.013216
; Irregular,69,2,227,0.008811
; Irregular,71,2,227,0.008811
; Irregular,75,1,227,0.004405
; Irregular,78,1,227,0.004405
; Irregular,81,1,227,0.004405
; Irregular,82,1,227,0.004405
; Irregular,86,2,227,0.008811
; Irregular,89,2,227,0.008811
; Irregular,91,1,227,0.004405
; Irregular,92,2,227,0.008811
; Irregular,108,2,227,0.008811
; Irregular,114,1,227,0.004405
; Irregular,118,1,227,0.004405
; Irregular,136,4,227,0.017621
"A Basis For Selecting Cows Actually, Of Course, There Are Differences Between",0,1,1,1.0
A Blunt Iron Tool Re-sembling A Cleaver In Miniature,6,1,1,1.0
A Case Of,0,1,1,1.0
"A Cent. Coil Of The Right, Vagus Entire",165,1,1,1.0
A Central Cavity Containing,0,1,1,1.0
A Diet Composed Of Burma Rice,0,1,1,1.0
A Diet Composed Of Burma Rice . . . . . Ozs,0,1,1,1.0
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",0,17,47,0.361702
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",3,4,47,0.085106
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",5,2,47,0.042553
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",7,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",10,3,47,0.06383
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",16,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",17,2,47,0.042553
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",22,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",23,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",31,2,47,0.042553
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",42,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",54,5,47,0.106383
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",67,3,47,0.06383
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",74,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",79,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",93,1,47,0.021277
"A Diffuse Red Colour, With Generally Mulberry-coloured (hâemorrhagic) Spots",132,1,47,0.021277
A Diminished Intensity Of That Occurring,34,1,1,1.0
A Drench,0,1,1,1.0
A Form Of,31,1,1,1.0
A Four Pointed Needle One Insertion On Each Arm Or The Two,21,1,1,1.0
A Fully Developed Flagellum,0,43,47,0.914894
A Fully Developed Flagellum,3,1,47,0.021277
A Fully Developed Flagellum,16,1,47,0.021277
A Fully Developed Flagellum,91,1,47,0.021277
A Fully Developed Flagellum,98,1,47,0.021277
A Greasy Nature,11,1,1,1.0
A High Order,25,1,1,1.0
A History Of,22,1,1,1.0
A Lethal Muscle Contracture In The Sheep,0,1,1,1.0
A Licberkuhn S Crypt (transversely Divided) From The Vermiform Appendix,0,1,1,1.0
A Light Brown Colour,54,1,1,1.0
A M I N U T E,0,1,1,1.0
A Malarious Type,19,1,1,1.0
A Marked Decrease To The Lowest Recorded Figure Of . Per,0,1,1,1.0
A Marked Degree,0,1,1,1.0
A Mean Of,42,1,1,1.0
A Moribund Condition,4,1,1,1.0
A Most Virulent Form,0,26,63,0.412698
A Most Virulent Form,1,12,63,0.190476
A Most Virulent Form,6,7,63,0.111111
A Most Virulent Form,7,1,63,0.015873
A Most Virulent Form,11,1,63,0.015873
A Most Virulent Form,16,1,63,0.015873
A Most Virulent Form,19,2,63,0.031746
A Most Virulent Form,22,1,63,0.015873
A Most Virulent Form,29,1,63,0.015873
A Most Virulent Form,36,1,63,0.015873
A Most Virulent Form,38,3,63,0.047619
A Most Virulent Form,59,1,63,0.015873
A Most Virulent Form,75,1,63,0.015873
A Most Virulent Form,84,1,63,0.015873
A Most Virulent Form,87,2,63,0.031746
A Most Virulent Form,93,1,63,0.015873
A Most Virulent Form,109,1,63,0.015873
A Naval Rating In Poona Hospital,11,1,1,1.0
A Pair Of Spines Or Spurs,71,1,1,1.0
A Petri-dish Kept In An Upright Position,42,1,1,1.0
A Reduced State Of Health,0,1,1,1.0
A Satisfactory Condition On The Whole As To Cleanliness And Conservancy,0,9,39,0.230769
A Satisfactory Condition On The Whole As To Cleanliness And Conservancy,1,4,39,0.102564
