relation,topic,count,total,prop,count_global
A Thrombosed And Bursting Vessel,0,1,1,1.0,1.0
A Type Not Previously Observed By Me In This Climate,0,1,1,1.0,1.0
A Well About Yard From The Sepoys Tents,12,1,1,1.0,1.0
A Well Developed Condition,0,224,232,0.965517,426.0
A Whole Or Portion Of The Inhabitants To Huts Proves Ultimately Successful,0,1,1,1.0,1.0
A.m. On Next Day,0,1,1,1.0,1.0
"A.m. To Noon At C, From Noon To P.m. At C, From",0,37,41,0.902439,79.0
AFTER,2,1,1,1.0,1.0
AND OTHER MOSQUITOES IN KARACHI,0,55,62,0.887097,141.0
AS,2,1,1,1.0,3.0
AT,0,1,1,1.0,2.0
Abandoned,0,1,1,1.0,2.0
Abandoned Definitely,13,1,1,1.0,1.0
Abandoned Due To,0,1,1,1.0,1.0
Abandonment Of Fairs Due To,0,2,2,1.0,2.0
Abated,12,1,1,1.0,3.0
Abated After,0,1,1,1.0,1.0
Abated By,0,1,1,1.0,1.0
Abated Considerably,0,1,1,1.0,1.0
Abated In,0,2,3,0.666667,4.0
Abated In August And September,0,1,1,1.0,1.0
Ability To Grow At,0,154,169,0.911243,260.0
Ability To Ripen Cream Properly,0,1,1,1.0,1.0
Able To Convert Carotene Into Vitamin-a Much More Readily Than,0,58,59,0.983051,94.0
Able To Feed Themselves,0,96,104,0.923077,312.0
Able To Live In,0,1,1,1.0,1.0
Able To Store Up,0,1,1,1.0,1.0
Able To Strike A Positive Balance With An Intake Of To Gm,0,1,1,1.0,1.0
Able To Talk A Little,0,60,66,0.909091,121.0
Able To Travel To,4,2,2,1.0,2.0
"Abnormal Division Into Cells, Instead Of Forming Sporidia",0,1,1,1.0,1.0
"Abolition Of And Transfer Of The Inmates To Berhampore, Has Reduced The",0,1,1,1.0,1.0
Abolition Of The System Of,0,1,1,1.0,1.0
Abort As The Result Of,0,3,3,1.0,5.0
Aborted,0,1,1,1.0,3.0
Aborted On The,0,1,1,1.0,1.0
Abortion,0,1,1,1.0,1.0
Abortion When,0,1,1,1.0,1.0
Abound In,0,1,1,1.0,1.0
Abound In The Summer Months,0,1,1,1.0,1.0
Abounded,0,1,1,1.0,1.0
Abounded As Usual,0,1,1,1.0,1.0
Abounded In,0,4,4,1.0,4.0
Abounded In Specimens Derived From The Remaining Case,0,1,1,1.0,1.0
Abounds In Difficulties,0,40,47,0.851064,94.0
"Abounds To A Degree As Great As Is Manifested In Beerbhoom, Bankoora",0,3,3,1.0,3.0
About,0,2,2,1.0,10.0
About And Times More Susceptible Than,0,75,81,0.925926,148.0
About Four To Five Times The Vitamin-a Contents Of,0,1,1,1.0,1.0
About Half As Many,0,32,33,0.969697,63.0
About Once A Week Using Chittacks Or Ounces Of Mutton Or Goat,0,1,1,1.0,1.0
About One-half Of The Infants Born In The Past Year Were Protected,0,46,46,1.0,105.0
About P.M,0,1,1,1.0,1.0
About Sixty Miles To The South Of,1,1,1,1.0,1.0
About The Seat,0,1,1,1.0,1.0
About The Th Of The Month I Found The Vesicles Were Beginning,0,1,1,1.0,1.0
About To,0,1,1,1.0,1.0
About To Be Sunk At,0,2,2,1.0,2.0
About Two Ounces Of Greenish Matter Mixed With Froth And Mucus,0,1,1,1.0,1.0
About Which There Is Little Likelihood Of Mistake,0,1,1,1.0,1.0
Above,8,1,1,1.0,4.0
Above Ground Level,0,40,52,0.769231,94.0
Above One,0,1,1,1.0,1.0
Above The Optimum,0,1,1,1.0,1.0
Above Which Altitude Has An Effect On,0,1,1,1.0,1.0
Abscess In,0,1,1,1.0,1.0
Abscess Of The Rectum,0,1,1,1.0,1.0
Abscesses Scattered Over The Body And In The Organs,0,1,1,1.0,1.0
Absconded,0,1,1,1.0,1.0
Absconded For,0,1,1,1.0,1.0
Absence Of Calcification In,0,1,1,1.0,1.0
Absence Of Cross,0,94,136,0.691176,252.0
Absence Of Giant Cells In,0,1,1,1.0,1.0
Absence Of Perflation Oi Groups Of Buildings,0,1,1,1.0,1.0
Absence Of Seasonal Influence May Be Due To Equable Atmospheric Temperature Throughout,0,1,1,1.0,
Absent From Both Jail And Asylum,9,1,1,1.0,1.0
Absent In Europe On Furlough,1,1,1,1.0,1.0
Absent Or Very Small In Amount And Not Showing Organic Structure,0,139,150,0.926667,434.0
Absolutely Unaffected By Lying For Days In,0,2,2,1.0,2.0
Absorb,0,108,125,0.864,181.0
Absorb Heat Faster Than,0,20,20,1.0,63.0
Absorb Oxygen From,0,1,1,1.0,1.0
Absorbed (tidy S Process,0,1,1,1.0,1.0
Absorbed And Made Use Of In The Economy,0,1,1,1.0,1.0
Absorbed From Diet,0,3,3,1.0,3.0
Absorbed Somewhat More Slowly Than,11,1,1,1.0,1.0
Absorption From Burma Rice And Country Rice Would Be Identical For Different,0,1,1,1.0,1.0
Absorption From Mutton,0,1,1,1.0,1.0
Absorption Takes Place From A Diet Containing,0,1,1,1.0,1.0
Abstract Of,0,611,665,0.918797,1224.0
Abundance Of Adult,0,1,1,1.0,1.0
Abundant,0,1,1,1.0,1.0
Abundant After,0,1,1,1.0,1.0
Abundant And Cheap In The Poona Bazaars,0,54,60,0.9,125.0
Abundant And Rare,0,77,83,0.927711,126.0
Abundant In,0,1,1,1.0,1.0
Accelerated,0,2,2,1.0,3.0
Accelerated And Laboured,0,1,1,1.0,1.0
Accelerated Promotion Period From Captain To Major,0,286,367,0.779292,1109.0
Accelerates,0,1,1,1.0,2.0
Accelerates Ascent Of Fat,0,1,1,1.0,1.0
Accelerates Its March,0,1,1,1.0,1.0
Accelerates The Development Of Toxic Reduction,0,1,1,1.0,1.0
Accentuates Effects Of Cold,0,35,62,0.564516,117.0
Accepted,0,1,1,1.0,2.0
Accepted And Brought Into Force,0,1,1,1.0,1.0
Accepted For Training During The Year,0,1,1,1.0,1.0
Accepted Proposals For Mosquito Survey,0,35,38,0.921053,82.0
Accepted The Necessity,0,1,1,1.0,1.0
Accepted The Offer Of,4,1,1,1.0,1.0
Accidental Drowning,0,1,1,1.0,1.0
Accidentally Squirted Into,0,1,1,1.0,1.0
Acclimate Better Than,0,1,1,1.0,1.0
Accommodate,0,1,1,1.0,5.0
Accommodated,0,1,2,0.5,3.0
Accommodated In,0,4,5,0.8,7.0
Accommodated In Three Forts Outside The Town,0,1,1,1.0,1.0
Accommodated Together With,3,1,1,1.0,1.0
Accommodates,0,2,2,1.0,8.0
Accommodation At Sohawa Is Quite Inadequate For The Investigation Of,0,1,1,1.0,1.0
Accommodation Consists Of One Large Ward Accommodating Patients,57,1,1,1.0,1.0
Accommodation For In-patients And For The Veterinary Assistant Is Not Good,4,1,1,1.0,1.0
Accommodation For The Work In Which Is Increasing Rapidly,0,1,1,1.0,1.0
Accommodation Was Furnished For Suspected Persons And For The Medical Staff,0,1,1,1.0,1.0
Accompanied,0,1,1,1.0,4.0
Accompanied By,0,50,52,0.961538,90.0
Accompanied By A Weak And Extremely Irregular And Intermittent Pulse,0,1,1,1.0,1.0
Accompanied By Breaking Down,0,106,114,0.929825,237.0
Accompanied By Pain And Restlessness,0,2,2,1.0,2.0
Accompanied By Tahsi Lda R Jowahir La L,45,1,1,1.0,1.0
Accompanied The Patient As An Attendant,0,1,1,1.0,1.0
Accompanied With,0,8,8,1.0,11.0
Accompanied With Tenderness On Manipulation At The Seat Of Inoculation,0,1,1,1.0,1.0
Accompany,0,8,8,1.0,11.0
Accompany Their Parents,0,1,1,1.0,1.0
Accompanying,0,1,1,1.0,2.0
Accompanying Each Corpse,0,1,1,1.0,1.0
Accomplished By,0,2,2,1.0,2.0
Accordance With Alleged Distress,0,1,1,1.0,1.0
According To,0,1,2,0.5,3.0
According To The,0,1,1,1.0,1.0
According To The Nature And Length Of Sentence,0,3,3,1.0,3.0
According To The Standard Plan,0,1,1,1.0,1.0
Accords Praise To The Police For The Activity Displayed In Arresting,0,1,1,1.0,1.0
Account For,0,15,15,1.0,23.0
Account For Decline In Numbers Of Patients,0,1,1,1.0,1.0
Account For Increase In Population,0,1,1,1.0,1.0
Account For The Existence Of One Form Rather Than Another,0,1,1,1.0,2.0
Account For The Falling-off In Work,0,123,146,0.842466,375.0
Account Of,0,1,1,1.0,5.0
Accountable For,0,4,4,1.0,6.0
Accounted For Almost Per Cent Of The Total Deaths From Contagious Disease,0,1,1,1.0,1.0
Accounted For Almost Per Cent. Of The Total Deaths From Contagious Disease,0,1,1,1.0,1.0
Accounted For By,0,4,4,1.0,10.0
Accounted For By The Demoralized Condition Of The Native City,0,1,1,1.0,1.0
Accounted For Nearly Per Cent. (exact Proportion ) Of The Deaths Reported,0,3,3,1.0,4.0
Accounted For Over Per Cent,4,1,1,1.0,1.0
"Accounted For The Largest Number Of Mental Derangements, Viz",0,1,1,1.0,1.0
Accounting For,0,3,3,1.0,9.0
Accounting For Most Of,0,1,1,1.0,1.0
Accounting For Over,0,1,1,1.0,1.0
Accounting For This,3,1,1,1.0,1.0
Accounts For,0,10,10,1.0,22.0
Accounts For A Surprisingly Small Number Of Admissions,10,1,1,1.0,1.0
Accounts For Most Of The Ethereal Sulphate,0,1,1,1.0,1.0
Accounts For Smaller Number Of Sick Last Year,0,1,1,1.0,1.0
Accounts For The Largest Share With The Lowest Percentage And Total Yield,0,1,1,1.0,1.0
Accounts For The Slight Excess Of This Rate Over That Of The,0,29,31,0.935484,76.0
Accounts Keeping Is Also Another Important Factor In Throwing Additional Work On,8,1,1,1.0,1.0
Accumulate In The Substomatic Spaces,0,32,36,0.888889,57.0
Accumulated In,0,3,4,0.75,5.0
Accumulates Between,0,1,1,1.0,1.0
Accumulates In,0,2,2,1.0,2.0
Accumulating Faster Than,3,1,1,1.0,1.0
Accuracy Was Found To Be Between Per Cent To Per Cent,0,1,1,1.0,1.0
Accuracy Works Out To Per Cent In The Strong Fibres For Length,5,1,1,1.0,1.0
Accused But Usually Found Free From Disease,0,1,1,1.0,1.0
Accused Of Stealing A Dhoti Which She Saw Hanging To A Tree,4,1,1,1.0,1.0
Acetate Of Lead ... Powdered Ginger,0,285,287,0.993031,409.0
Achieve,7,1,1,1.0,1.0
Achieved Through,0,2,2,1.0,2.0
Acme Is Attained In,25,1,1,1.0,1.0
Acquire Tolerance For,0,1,1,1.0,1.0
Acquired,22,1,2,0.5,3.0
Acquired An Additional Plot Of Bighas Of Land For,0,1,1,1.0,1.0
Acquired By,37,1,1,1.0,2.0
Acquired Spontaneously,0,1,1,1.0,1.0
Acquires,0,1,1,1.0,1.0
Acquiring More Confidence In,4,1,1,1.0,1.0
Act,0,6,6,1.0,8.0
"Act As A Demulcent, Expectorant And Laxative",30,1,1,1.0,1.0
Act As Carriers,0,110,118,0.932203,223.0
Act As Intermediary Bodies Or Amboceptors,0,1,1,1.0,1.0
Act As Supporting Buttresses To Counteract The Tendency Of The Dilator Muscles,0,1,1,1.0,1.0
Act As Well As Large Doses,0,1,1,1.0,1.0
Act At Bellary Is Taken Little Interest In,57,1,1,1.0,1.0
Act Chiefly By Virtue Of Their Warmth Or Moisture,1,2,2,1.0,2.0
Act Conferring Powers Under,0,92,107,0.859813,174.0
Act Gently On,1,1,1,1.0,1.0
Act In The Medical Department,0,1,1,1.0,1.0
Act Like,0,1,1,1.0,1.0
Act Most Beneficially In Freeing The Air Of Impurities,0,1,1,1.0,1.0
Act On,0,1,1,1.0,1.0
Act Primarily On,0,1,1,1.0,1.0
Act To Provide For The Better Prevention Of The Spread Of,0,346,367,0.942779,694.0
Acted,0,1,1,1.0,2.0
Acted After The Injured Pinnules Alone Had Moved,1,1,1,1.0,1.0
Acted As,0,3,3,1.0,10.0
Acted As A Member And Secretary To,0,1,1,1.0,1.0
Acted As An Examiner At The Annual And Diploma Examinations Of The,0,1,1,1.0,1.0
Acted As An Examiner At The Annual Examinations Of,0,1,1,1.0,1.0
Acted As An Examiner In,0,1,1,1.0,1.0
Acted As Consultant To,0,1,1,1.0,1.0
Acted As Member Of,0,255,285,0.894737,571.0
Acted As Member Of Examination Board Of Nalband Class At,0,1,1,1.0,1.0
Acted As One Of The Judges At The Shows At,0,2,2,1.0,2.0
Acted As Principal From,0,2,2,1.0,2.0
Acted As The Secretary And An Examiner At The First Half-yearly Professional,0,1,1,1.0,1.0
Acted At Once,1,1,1,1.0,1.0
Acted For,0,6,6,1.0,7.0
Acted For Him During The Remaining Part Of The Year,0,1,1,1.0,1.0
Acted In Place As,1,1,1,1.0,1.0
Acting As,0,2,2,1.0,3.0
Acting In People Already Worn Down By,0,1,1,1.0,1.0
Acting Police Surgeon For,0,1,1,1.0,1.0
Acting Principal Of,0,1,1,1.0,1.0
Acting Together,27,1,1,1.0,1.0
Acting Upon Class B Corpuscles,0,1,1,1.0,1.0
Action Extended In Various Degrees To Other Pinnæ Than That Primarily Affected,1,1,1,1.0,1.0
Action In The Cut Pinna ; Commencing Action In The Other Distal,1,1,1,1.0,1.0
Action In The Cut Pinnules ; Long Pause ; Action In The,1,2,2,1.0,2.0
"Action In The Cut Pinnules ; Long Pause ; Very Slow, Incomplete",1,1,1,1.0,1.0
Action In The Primary Pulvinus ; Action In The Cut Pinna,1,1,1,1.0,1.0
Action In The Primary Pulvinus ; Centripetal Action In That Pinna,1,1,1,1.0,1.0
"Action In The Primary Pulvinus ; Slow, Slight, Imperfect Action In The",1,1,1,1.0,1.0
Action Is More Prolonged,0,20,29,0.689655,70.0
Action Of Caffeine On The Capacity For Muscular Work,0,49,52,0.942308,154.0
Action Of Combining,0,1,1,1.0,1.0
Action Of Extraneous Antidote,0,1,1,1.0,1.0
"Action Of Formaldehyde On The Aggressive Substance Of Blackleg Filtrate, Bacterin And",0,1,1,1.0,
Action Of Histamine On The Suprarenal Glands,0,1,1,1.0,1.0
Action Of Strong Sunlight Upon,0,39,66,0.590909,99.0
Action Of Strychnine And Reflex Inhibition Of Skeletal Muscle,0,1,1,1.0,1.0
Action Of The Alkaloids Of The Papaveraceae Upon The Isolated Frog S,0,552,572,0.965035,746.0
Action On Distoma,0,1,1,1.0,1.0
Action On The Nervous System Is Quite Secondary To The Changes Which,0,1,1,1.0,1.0
Action Should Be Taken Only In Places With Facilities For Bacteriological Examination,0,1,1,1.0,
Action Taken By,0,1,1,1.0,1.0
Action Taken By Him In,0,1,1,1.0,1.0
Action Throughout The Leaf Save In One Pinna,1,1,1,1.0,1.0
Action To Be Taken On Outbreak Of,0,1,1,1.0,1.0
Action To Be Taken On The Occurrence Of,0,1,1,1.0,1.0
Action Towards Clothes,0,1,1,1.0,1.0
Actions Are Further Studied On Various Organs,0,1,1,1.0,1.0
Activated By,24,1,1,1.0,2.0
Activates,0,1,1,1.0,1.0
Active,20,1,1,1.0,1.0
Active Agent In,0,1,1,1.0,1.0
Active And Moving In,0,39,48,0.8125,87.0
Active Constant Movement,29,1,1,1.0,1.0
Active For Days When Dried At,0,124,146,0.849315,261.0
Active In The Central And Orissa Ranges,0,1,1,1.0,1.0
Active Principle Of,0,1,2,0.5,2.0
Actively Motile And Isolated,0,117,122,0.959016,223.0
Actively Moving Pigment,0,1,1,1.0,1.0
Activity,0,4,4,1.0,4.0
Activity Depressed By,5,1,1,1.0,1.0
Activity Involving,0,3,3,1.0,3.0
Activity Is Increased Simultaneously With The Higher Rate Of Productive Metabolism,0,1,1,1.0,
Activity Of,0,3,4,0.75,4.0
Activity Related To,0,1,1,1.0,1.0
Acts Against Advice Of Soundness Of Mind And Morality,0,1,1,1.0,1.0
Acts As,0,3,3,1.0,5.0
Acts As A Direct Nervous Irritant,0,1,1,1.0,1.0
Acts As A Limiting Factor For,0,1,1,1.0,1.0
Acts As A Pleasant Work,0,64,80,0.8,163.0
Acts As A Powerful Depressant Poison Upon Both Respiration And Circulation,0,3,3,1.0,3.0
"Acts As A Preservative Against The Action Of Light, Air And Moisture",0,1,1,1.0,1.0
Acts As A Solvent For The Perchloride And Has A Distinct Germicidal,0,1,1,1.0,1.0
Acts As An Activating Substance,0,1,1,1.0,1.0
Acts As An Air-channel From The One To The Other,6,1,1,1.0,1.0
Acts As An Appetiser,0,1,1,1.0,1.0
Acts As An Appetizer,0,1,1,1.0,1.0
Acts As Consultant To The Hospital,0,1,1,1.0,1.0
Acts As Digestive,0,1,1,1.0,1.0
Acts As Stimulant And Increases Appetite,0,1,1,1.0,1.0
Acts As The Intermediate Host,0,1,1,1.0,1.0
Acts For,0,1,1,1.0,1.0
"Acts Injuriously On The Nervous System, Inflames Temper, Weakens Sense Of Moral",0,1,1,1.0,1.0
Acts Less Effectively With Gravity And Mainly Concerned In The Disappearance Of,0,1,1,1.0,1.0
Acts Like A Charm,0,1,1,1.0,1.0
Acts More As A Predisposing Than As An Exciting Cause,0,1,1,1.0,1.0
Acts Most Effectively On,0,1,1,1.0,1.0
Acts Most Effectually As A Deodorant,0,1,1,1.0,1.0
Acts Primarily As A Blood Poison,0,1,1,1.0,1.0
Acts To Some Extent In Preventing Recovery From,0,1,1,1.0,1.0
"Actual Cost, After Deducting Receipts From Paying Patients",0,1,1,1.0,1.0
Actually Lost As Flesh,0,2,2,1.0,3.0
Actually More Of His Proteid Than,0,1,1,1.0,1.0
Acute,0,49,56,0.875,88.0
Acute Delirium,0,1,1,1.0,1.0
Acute Dementia,0,1,1,1.0,1.0
Acute Pains In,0,1,1,1.0,1.0
Adapt Itself To The Shape Of,0,1,1,1.0,1.0
Adapted To,0,1,1,1.0,1.0
Adapted To Allow Multiplication Of The Bacilli And Development Of Arthrospores From,0,1,1,1.0,
Adapted To Climate,5,1,1,1.0,1.0
Adapted To Their Environments,0,1,1,1.0,1.0
Adapts Itself To,0,1,1,1.0,1.0
Add A Small Quantity Of Broken Poppy-heads,0,1,1,1.0,1.0
Added A Verandah To The Female Portion Of The Asylum,0,1,1,1.0,1.0
Added At Vizagapatam,0,1,1,1.0,1.0
Added Books To The Library Of,0,1,1,1.0,1.0
Added By Criminals To Majum For Administering To Their Victims,0,1,1,1.0,1.0
Added By Purchase From The Hissar Cattle Farm,0,1,1,1.0,1.0
Added In Each Tube,0,28,36,0.777778,96.0
Added Much To,0,2,2,1.0,2.0
Added Straight Into The Well,0,1,1,1.0,1.0
Added Their Normal Quota To The Death-rate,0,1,1,1.0,1.0
Added To Each Jar,0,1,1,1.0,5.0
Added To List Of,0,1,1,1.0,1.0
Added To Our Knowledge Of The Trematodes Of Frogs And Fishes,0,1,1,1.0,1.0
Added To Preserve,0,1,1,1.0,1.0
Added To The Cadre,0,1,1,1.0,1.0
Added To The Duties,0,80,89,0.898876,121.0
Added To The Museum,0,4,4,1.0,4.0
Added To The Ration,0,1,1,1.0,1.0
Added To The Soil Before Sterilization,0,22,26,0.846154,78.0
Added To The Triturated Pulp,0,1,1,1.0,1.0
Added To The Well,0,1,1,1.0,1.0
Added To Whip Up Effects Of Hemp,0,1,1,1.0,1.0
Addicted To,0,6,6,1.0,18.0
Addicted To A Certain Extent To,0,70,74,0.945946,142.0
Addicted To By,0,2,2,1.0,2.0
Addicted To The Excessive Use Of,0,1,1,1.0,1.0
Addicted To The Use Of,0,1,1,1.0,1.0
Addicted To Their Use Are Not Likely To Do Without Some Intoxicant,0,1,1,1.0,1.0
Adding To Hydrogenated Fat To Distinguish It From,0,1,1,1.0,1.0
Addition Is Not Of Much Importance In Cattle Feeding,0,1,1,1.0,1.0
Addition Of Dhoby Allowances Sanctioned To The Nursing Staff,0,1,1,1.0,1.0
Addition Of Phenol Preservative Was Found To Have A Very Marked Effect,0,1,1,1.0,1.0
Addition To,0,106,135,0.785185,256.0
Addition To The Hairs Covering The Majority Of Segments A Few Scales,1,1,1,1.0,1.0
Addition To The Iron Gratings,0,1,1,1.0,1.0
Addition To The Number,51,1,1,1.0,1.0
Additional Commissioned And Non-commissioned Medical Officers,0,150,159,0.943396,297.0
Additional Have Been Examined,0,238,247,0.963563,368.0
Additions To Our Scientific Knowledge Of,17,1,1,1.0,1.0
Addressed A Letter To The Municipal Commissioner Making Further Complaints Regarding,0,1,1,1.0,
Addressed A Meeting,53,1,1,1.0,1.0
Addressed The Municipal Commissioner,0,1,1,1.0,1.0
Addressed To Reserve,0,1,1,1.0,1.0
Aden,27,1,1,1.0,1.0
Adequate To Meet Demands Of,0,1,1,1.0,1.0
"Adequate, The Transport Power May Be Augmented",0,1,1,1.0,1.0
Adhere About The Orifice And Prevent Its Being Detached Afterwards,0,1,1,1.0,1.0
Adhere By Means Of,0,1,1,1.0,1.0
Adhere To,0,1,1,1.0,3.0
Adhere To One Another,0,1,1,1.0,1.0
Adhere To The Particles Of Sand And Dirt,0,1,1,1.0,1.0
Adhere To The Spores When Detached By Friction Subsequent To The Rupture,0,1,1,1.0,1.0
Adherent,0,3,3,1.0,3.0
Adherent To,0,4,5,0.8,7.0
Adheres To,0,1,1,1.0,1.0
Adhering To,0,1,1,1.0,2.0
Adhering To One Another Marginally,0,1,1,1.0,1.0
Adjoins,0,2,2,1.0,3.0
Adjoins The New Dock Enclosure,0,1,1,1.0,1.0
Adjusted To,0,1,1,1.0,1.0
Adjusted To Give Deflection Of,49,1,1,1.0,1.0
Adjusted To The Standard Length Of Days,0,1,1,1.0,1.0
Adjusted To The Standard Length Of Days By The Methods Illustrated In,0,1,1,1.0,1.0
Adjusting Yields To The Standard Length Of Days,0,2,2,1.0,2.0
Adjustment Of Direction So That Light Comes From The Scholars Left Side,0,1,1,1.0,1.0
Administered,0,193,301,0.641196,515.0
Administered Always With Good Results,0,38,41,0.926829,70.0
Administered As An Anesthetic,0,1,1,1.0,1.0
Administered As Usual,0,1,1,1.0,1.0
Administered At Intervals Of Two To Seven Days,0,1,1,1.0,1.0
Administered At The Right Time,0,1,1,1.0,1.0
Administered Before,0,3,3,1.0,5.0
Administered By The Mouth Is About Five Times Less Toxic Than,0,1,1,1.0,1.0
Administered Coincidently With Antidote,0,1,1,1.0,1.0
Administered Distally To,0,1,1,1.0,1.0
Administered For A Lengthened Period,0,3,3,1.0,4.0
Administered For Purposes Of Theft From The Person While In A State,0,1,1,1.0,1.0
Administered Hypodermically,0,1,1,1.0,1.0
Administered In Cases Of Dyspepsia And Colds And Coughs,0,1,1,1.0,1.0
Administered In Doses Ranging From To Grms,0,1,1,1.0,1.0
Administered In Drench Or Bolus At A Period Of Paroxysm,0,1,1,1.0,1.0
Administered In Full Doses,0,1,1,1.0,1.0
Administered In Large Doses,0,1,1,1.0,1.0
Administered In Opposite One,0,1,1,1.0,1.0
Administered In Ordinary Way,15,1,1,1.0,1.0
Administered In Small Doses,0,1,1,1.0,1.0
"Administered In Sweetmeats, Seldom In Food",0,1,1,1.0,1.0
Administered In The Left One,0,1,1,1.0,1.0
Administered In This Way Will Be At Least As Effectual As Given,0,1,1,1.0,1.0
Administered In What Appear As Excessively Large Doses,0,1,1,1.0,1.0
Administered Internally In,0,5,5,1.0,5.0
Administered Intramuscularly,0,1,2,0.5,3.0
Administered Intravenously Alone,0,3,3,1.0,3.0
Administered Intravenously On The Nd Day,0,1,1,1.0,1.0
Administered Intravenously On The Rd Day,0,1,1,1.0,1.0
Administered Intravenously On The Th Day,0,6,6,1.0,6.0
Administered Large Dosages Of,0,1,1,1.0,1.0
Administered More Than Times,0,1,1,1.0,1.0
Administered On Syme S Principles,0,1,1,1.0,2.0
Administered Per Rectum,15,1,1,1.0,1.0
Administered Rapidly And In A Concentrated Form,0,1,1,1.0,1.0
Administered Through Hypodermic Injections,0,1,1,1.0,1.0
Administered To Allay Fatigue And Weariness,0,1,1,1.0,1.0
Administered To Enter The Cæcum,0,1,1,1.0,1.0
Administered To Keep Quiet,0,1,1,1.0,1.0
Administered To The Animal During The Next Fifty-four Days,0,1,1,1.0,1.0
Administered To Young Pigs With Great Care,0,1,1,1.0,1.0
Administered Twice A Day,0,1,1,1.0,1.0
Administered Twice During The Hours,62,1,1,1.0,1.0
Administered Until,55,2,2,1.0,4.0
Administered Upon A Handkerchief,0,1,1,1.0,1.0
Administered Via Hypodermic Injection,15,1,1,1.0,1.0
Administered While Fasting And In The Form Of A Salt Easily Soluble,15,1,1,1.0,1.0
Administered With Marked Effect,0,1,1,1.0,1.0
